Headers:	Cost	Type	M/R	Damage	Dmg Type	Weight	Range	Properties
Club	0.1	Simple	Melee	1d4	bludgeoning	2	0/5	Light
Dagger	2	Simple	Melee	1d4	piercing	1	0/5	Finesse, light, thrown (range 20/60)
Greatclub	0.2	Simple	Melee	1d8	bludgeoning	10	0/5	Two-handed
Handaxe	5	Simple	Melee	1d6	slashing	2	0/5	Light, thrown (range 20/60)
Javelin	0.5	Simple	Melee	1d6	piercing	2	0/5	Thrown (range 30/120)
Light Hammer	2	Simple	Melee	1d4	bludgeoning	2	0/5	Light, thrown (range 20/60)
Mace	5	Simple	Melee	1d6	bludgeoning	4	0/5	—
Quarterstaff	0.2	Simple	Melee	1d6	bludgeoning	4	0/5	Versatile (1d8)
Sickle	1	Simple	Melee	1d4	slashing	2	0/5	Light
Spear	1	Simple	Melee	1d6	piercing	3	0/5	Thrown (range 20/60), versatile (1d8)
Crossbow, light	25	Simple	Ranged	1d8	piercing	5	80/320	Ammunition (range 80/320), loading, two-handed
X	Dart	0.05	Simple	Ranged	1d4	piercing	0.25	0/5	Finesse, thrown (range 20/60)
Shortbow	25	Simple	Ranged	1d6	piercing	2	80/320	Ammunition (range 80/320), two-handed
Sling	0.1	Simple	Ranged	1d4	bludgeoning	0	30/120	Ammunition (range 30/120)
Battleaxe	10	Martial	Melee	1d8	slashing	4	0/5	Versatile (1d10)
Flail	10	Martial	Melee	1d8	bludgeoning	2	0/5	—
Glaive	20	Martial	Melee	1d10	slashing	6	0/10	Heavy, reach, two-handed
Greataxe	30	Martial	Melee	1d12	slashing	7	0/5	Heavy, two-handed
Greatsword	50	Martial	Melee	2d6	slashing	6	0/5	Heavy, two-handed
Halberd	20	Martial	Melee	1d10	slashing	6	0/10	Heavy, reach, two-handed
Lance	10	Martial	Melee	1d12	piercing	6	5/10	Reach, special
Longsword	15	Martial	Melee	1d8	slashing	3	0/5	Versatile (1d10)
Maul	10	Martial	Melee	2d6	bludgeoning	10	0/5	Heavy, two-handed
Morningstar	15	Martial	Melee	1d8	piercing	4	0/5	—
Pike	5	Martial	Melee	1d10	piercing	18	0/10	Heavy, reach, two-handed
Rapier	25	Martial	Melee	1d8	piercing	2	0/5	Finesse
Scimitar	25	Martial	Melee	1d6	slashing	3	0/5	Finesse, light
Shortsword	10	Martial	Melee	1d6	piercing	2	0/5	Finesse, light
Trident	5	Martial	Melee	1d6	piercing	4	0/5	Thrown (range 20/60), versatile (1d8)
War Pick	5	Martial	Melee	1d8	piercing	2	0/5	—
Warhammer	15	Martial	Melee	1d8	bludgeoning	2	0/5	Versatile (1d10)
Whip	2	Martial	Melee	1d4	slashing	3	0/10	Finesse, reach
Blowgun	10	Martial	Ranged	1d1	piercing	1	25/100	Ammunition (range 25/100), loading
Crossbow, hand	75	Martial	Ranged	1d6	piercing	3	30/120	Ammunition (range 30/120), light, loading
Crossbow, heavy	50	Martial	Ranged	1d10	piercing	18	100/400	Ammunition (range 100/400), heavy, loading, two-handed
Longbow	50	Martial	Ranged	1d8	piercing	2	150/600	Ammunition (range 150/600), heavy, two-handed
X	Net	1	Martial	Ranged	0d1	bludgeoning	3	5/15	Special, thrown (range 5/15)
